Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.01816940702282152,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.014285689258041682,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,0.02132883446929541,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005038831029839593,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.006408691260650363,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.011232117664654304,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.012169558683788826,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.011232117664654304,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005915019285946335,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.00956831081750475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.01816940702282152,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.03738173188026989,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.014285689258041686,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.005038831029839593,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,1.2588003452053502e-15,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,9.134906650283707e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.019685839448573526,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,5.523859724622305e-17,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.025037645931273764,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.00883124817807592,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.019685839448573526,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.014285689258041684,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.007523080686757891,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,3.7823270572213707e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.02132883446929541,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.0271273067609856,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.025037645931273767,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.005038831029839593,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.016769787868247475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.03450215590373633,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.005915019285946334,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,0.03450215590373633,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.0011903987620057277,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.04754435641726351,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,1,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.016769787868247475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.015477983667424536,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.007523080686757891,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.01318523923803091,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.008150962679858665,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.015477983667424536,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.012169558683788826,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.008150962679858665,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.011232117664654304,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.005038831029839593,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.03184439837668466,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.0408091757732758e-4,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.036272812960078e-15,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.01816940702282152,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.01318523923803091,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,1.566080367919738e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.02132883446929541,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.03450215590373633,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.001925624381091326,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.0028749976940186145,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.016769787868247475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,1.3668991506323176e-4,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.005459375671276526,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,2,0.02310895509470227,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,5.647093833207908e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.006943565471023719,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,4.18942699855571e-15,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.010366889261210325,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.012169558683788826,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.023108955094702267,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,1.566080367919738e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.012169558683788826,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.001777290384010133,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.015477983667424535,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.015477983667424535,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.008150962679858665,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.01816940702282152,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.005038831029839593,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,4,0.00956831081750475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.00956831081750475,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.00883124817807592,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.01318523923803091,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,3,0.01816940702282152,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,4.18942699855571e-15,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.006943565471023718,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.011232117664654304,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,7.358907721046153e-4,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.0010140657079729964,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,2.744772411301103e-16,Lasso
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,20,20,5,0.013185239238030909,Lasso
