Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,10,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,9,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,10,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,12,71,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,10,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,7,13,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,11,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,15,14,65,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,12,71,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,12,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,14,12,68,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,14,70,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,10,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,12,69,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,11,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,13,69,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,10,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,16,65,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,10,76,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,10,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,6,11,77,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,9,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,5,9,80,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,14,10,70,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,11,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,7,11,76,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,11,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,8,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,8,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,11,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,12,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,8,76,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,13,68,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,12,71,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,12,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,9,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,12,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,16,65,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,14,13,67,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,7,13,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,9,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,13,69,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,8,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,11,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,13,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,9,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,12,71,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,13,68,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,14,69,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,8,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,15,66,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,12,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,9,10,75,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,12,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,13,11,70,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,10,76,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,11,71,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,11,11,72,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,10,11,73,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,7,9,78,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,12,8,74,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,8,78,AIC
40,100,300,0.3,1,wide,5,4,4,4,4,4,20,5,8,10,76,AIC
