Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,6,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,9,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,9,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,10,9,75,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,4,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,6,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,6,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,3,7,84,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,3,9,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,10,77,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,4,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,10,6,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,4,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,10,6,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,4,9,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,5,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,5,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,3,6,85,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,9,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,9,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,7,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,7,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,5,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,5,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,6,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,5,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,6,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,4,4,86,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,9,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,8,77,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,7,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,9,77,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,10,6,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,8,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,8,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,8,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,10,78,AIC
